work_item_id,track_id,gate_id,title,status,priority,owner_role,deputy_role,depends_on,evidence_ids,definition_of_done,notes
WI-G2-10,T2,G2,Prepare a reusable single-decision G2 evidence-campaign protocol without external activity.,accepted,P1,quality and assurance lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G2-09,E-G2-EVIDENCE-CAMPAIGN-PROTOCOL-20260820,A deterministic protocol receipt and fail-closed single-campaign authorization model are validated from the exhausted material-distinct frame.,Repository-only campaign protocol accepted. It does not authorize external activity or advance G2.
WI-G2-11,T2,G2,Validate offline non-exposed candidate metadata before a future G2 campaign.,accepted,P1,quality and assurance lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G2-10,E-G2-OFFLINE-CANDIDATE-INTAKE-20260820,A metadata-only intake guard validates candidate identity and complete exposure-chain non-overlap without network activity.,"Repository-only offline candidate-intake validator accepted. It does not create a candidate manifest, authorize external activity, or advance G2."
WI-G2-12,T5,G2,Convert terminal concordance differences into a source-independent atomic field contract and executable tests.,accepted,P1,quality and assurance lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G2-07,E-G2-ATOMIC-FIELD-CONTRACT-20260826,Generic atomic rules and adversarial fictional tests pass without repairing or reusing failed outputs.,Repository-owned contract remediation complete. No cohort selection extraction criterion acceptance maturity promotion or G2 passage.
WI-G2-13,T5,G2,Operate a prospective official structured publication-index monitor with explicit publisher timestamps.,accepted,P1,quality and assurance lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G2-12,E-G2-FUTURE-OFFICIAL-FEED-PREPARATION-20260829;E-G2-FUTURE-OFFICIAL-FEED-OBSERVATION-20260829,"One exact publisher-controlled metadata endpoint is frozen, every result becomes exposure, complete single-page enumeration is verified and no result locator is opened.","The frozen official publisher-index monitor passed its first hosted run and remains scheduled. Acceptance is limited to monitor operation; C04/C07, M06 and G2 remain blocked."
WI-G2-14,T5,G2,Operate an exact-product Statistics Canada family-law metadata monitor.,accepted,P1,quality and assurance lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G2-13,E-G2-STATCAN-METADATA-PREPARATION-20260829;E-G2-STATCAN-METADATA-OBSERVATION-20260829,Four exact official product identifiers are observed through one publisher metadata endpoint; post-cutoff updates stop for edition-identity review and no table data is accessed.,Accept monitor operation only after merged exact-head hosted evidence; no G2 criterion or maturity advancement.
WI-G2-15,T5,G2,Operate an exact New Zealand justice-statistics index monitor.,accepted,P1,quality and assurance lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G2-14,E-G2-NZ-JUSTICE-INDEX-PREPARATION-20260829;E-G2-NZ-JUSTICE-INDEX-OBSERVATION-20260829,Four exact family-justice locators and visible update text are monitored without opening source files; any change stops for edition-identity and publication-date review.,Accept monitor operation only; no G2 criterion or maturity advancement.
WI-G2-16,T5,G2,Operate an exact UK family-court release-calendar monitor.,accepted,P1,quality and assurance lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G2-15,E-G2-UK-FAMILY-CALENDAR-PREPARATION-20260829;E-G2-UK-FAMILY-CALENDAR-OBSERVATION-20260829,The exact Family court statistics quarterly calendar entry is monitored without opening its collection or releases; any heading source or schedule change stops for review.,Accept monitor operation only; no G2 criterion or maturity advancement.
WI-G2-CLOSE,T0,G2,Assemble and approve the G2 gate evidence pack,in_review,P0,programme executive,none — single-person exception; owner unavailability pauses governed decisions,WI-G2-01;WI-G2-02;WI-G2-03;WI-G2-04;WI-G2-05;WI-G2-06;WI-G2-07;WI-G2-08,,All mandatory G2 criteria pass and the gate decision is recorded.,Deterministic pack assembly is implemented; the sole owner decides after all factual evidence and panel advice are bound.
WI-G3-01,T2,G3,"The in-scope jurisdiction universe, federal/devolved rules and review cycle are frozen.",in_review,P1,global census lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G2-CLOSE,E-GLOBAL-UNIVERSE,"Criterion G3-C01 is evidence-complete, reviewed and passes in the conductor.",Submitted for technical review of the deterministic harness; not evidence acceptance or a gate decision.
WI-G3-02,T2,G3,Every in-scope jurisdiction has exactly one current reviewed coverage status and institutional map.,in_review,P1,global census lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G2-CLOSE,E-GLOBAL-COVERAGE-REPORT,"Criterion G3-C02 is evidence-complete, reviewed and passes in the conductor.",Submitted for technical review of the deterministic harness; not evidence acceptance or a gate decision.
WI-G3-03,T5,G3,"Negative findings, inaccessible sources and non-official-only findings have second review.",in_review,P1,quality and assurance lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G2-CLOSE,E-NEGATIVE-FINDINGS-AUDIT,"Criterion G3-C03 is evidence-complete, reviewed and passes in the conductor.",Search-review and remediation queues implemented; second-review completion remains pending.
WI-G3-04,T9,G3,"Material language and legal-structure ambiguities have source-language, jurisdiction-aware agent review and authoritative-source triangulation.",in_review,P1,international partnerships lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G2-CLOSE,E-LOCAL-VERIFICATION-REPORT,"Criterion G3-C04 is evidence-complete, reviewed and passes in the conductor.",No local-human validation claim is permitted; unresolved ambiguity remains metadata-only or quarantined.
WI-G3-05,T2,G3,Standard direct enquiries have been completed or transparently closed for priority gaps.,in_review,P1,global census lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G2-CLOSE,E-DIRECT-ENQUIRY-REGISTER,"Criterion G3-C05 is evidence-complete, reviewed and passes in the conductor.",Submitted for technical review of the deterministic harness; not evidence acceptance or a gate decision.
WI-G3-06,T3,G3,"Every catalogued source has rights, retrieval, version and preservation metadata appropriate to its access route.",in_review,P1,acquisition lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G2-CLOSE,E-SOURCE-PRESERVATION-AUDIT,"Criterion G3-C06 is evidence-complete, reviewed and passes in the conductor.",Complete exact-edition factual rights audit and owner dispositions remain mandatory.
WI-G3-07,T6,G3,A complete data-availability atlas and machine-readable source register are production-ready.,in_review,P1,product and publication lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G2-CLOSE,E-COVERAGE-ATLAS-BETA,"Criterion G3-C07 is evidence-complete, reviewed and passes in the conductor.",Deterministic atlas/matrix build implemented; 0 ready jurisdictions and production acceptance remain pending.
WI-G3-08,T3,G3,"High-priority source aging, broken-link and content-drift monitoring is operational.",in_review,P1,acquisition lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G2-CLOSE,E-SOURCE-MONITORING-REPORT,"Criterion G3-C08 is evidence-complete, reviewed and passes in the conductor.","Offline monitoring control implemented; live scheduler, alert delivery and incident ownership remain pending."
WI-G3-CLOSE,T0,G3,Assemble and approve the G3 gate evidence pack,in_review,P0,programme executive,none — single-person exception; owner unavailability pauses governed decisions,WI-G3-01;WI-G3-02;WI-G3-03;WI-G3-04;WI-G3-05;WI-G3-06;WI-G3-07;WI-G3-08,,All mandatory G3 criteria pass and the gate decision is recorded.,Deterministic pack assembly is implemented; the sole owner decides after factual evidence and panel advice are bound.
WI-G4-01,T6,G4,The global source census and availability atlas are complete in beta form.,in_review,P1,product and publication lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G3-CLOSE,E-BETA-SOURCE-CENSUS,"Criterion G4-C01 is evidence-complete, reviewed and passes in the conductor.",Atlas build implemented; 0 ready jurisdictions and 91 gaps remain.
WI-G4-02,T4,G4,The harmonised core dataset builds from approved inputs with lineage and release contracts.,in_review,P1,technical lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G3-CLOSE,E-BETA-CORE-DATASET,"Criterion G4-C02 is evidence-complete, reviewed and passes in the conductor.",Synthetic/core pipeline and lineage controls implemented; approved real inputs remain pending.
WI-G4-03,T6,G4,The outcomes evidence catalogue is searchable and linked to its method and source records.,in_review,P1,product and publication lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G3-CLOSE,E-BETA-OUTCOMES-CATALOGUE,"Criterion G4-C03 is evidence-complete, reviewed and passes in the conductor.",Catalogue control path implemented; real-source outcome evidence remains pending.
WI-G4-04,T6,G4,The jurisdiction context library covers the release cohort and documents breaks in series.,in_review,P1,product and publication lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G3-CLOSE,E-BETA-CONTEXT-LIBRARY,"Criterion G4-C04 is evidence-complete, reviewed and passes in the conductor.",Context structures implemented; complete reviewed cohort remains pending.
WI-G4-05,T5,G4,"Comparability, quality, quarantine and release-diff controls are enforced in data and interfaces.",in_review,P1,quality and assurance lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G3-CLOSE,E-BETA-QUALITY-REPORT,"Criterion G4-C05 is evidence-complete, reviewed and passes in the conductor.",Comparability/quarantine controls implemented and rehearsed; real pilot quality acceptance remains pending.
WI-G4-06,T6,G4,"Downloads and any API/query interface expose version, provenance, definitions and limitations.",in_review,P1,product and publication lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G3-CLOSE,E-BETA-DOWNLOAD-API-QA,"Criterion G4-C06 is evidence-complete, reviewed and passes in the conductor.",Candidate packaging implemented; no public service is authorized.
WI-G4-07,T7,G4,"Beta threat, privacy, rights, disclosure and supply-chain agent-panel reviews are current and owner-adjudicated.",in_review,P1,security and data-governance owner,none — single-person exception; owner unavailability pauses governed decisions,WI-G3-CLOSE,E-BETA-ASSURANCE,"Criterion G4-C07 is evidence-complete, reviewed and passes in the conductor.",Agent advice is not legal or specialist assurance; factual findings and owner adjudications remain mandatory.
WI-G4-08,T8,G4,"Production-like monitoring, correction, backup and publication operations work.",in_review,P1,service and release manager,none — single-person exception; owner unavailability pauses governed decisions,WI-G3-CLOSE,E-BETA-SERVICE-READINESS,"Criterion G4-C08 is evidence-complete, reviewed and passes in the conductor.",Private rehearsal implemented; live ownership/support remains pending.
WI-G4-09,T9,G4,"Beta accessibility, localisation and usability testing uses role-separated agents and automated tools; findings and the absence of human-participant validation are dispositioned.",in_review,P1,international partnerships lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G3-CLOSE,E-BETA-USER-RESEARCH,"Criterion G4-C09 is evidence-complete, reviewed and passes in the conductor.",No lived-experience regional-acceptance or human-participant claim is permitted.
WI-G4-CLOSE,T0,G4,Assemble and approve the G4 gate evidence pack,in_review,P0,programme executive,none — single-person exception; owner unavailability pauses governed decisions,WI-G4-01;WI-G4-02;WI-G4-03;WI-G4-04;WI-G4-05;WI-G4-06;WI-G4-07;WI-G4-08;WI-G4-09,,All mandatory G4 criteria pass and the gate decision is recorded.,Deterministic pack assembly is implemented; the sole owner decides after factual evidence and panel advice are bound.
WI-G5-01,T1,G5,"v1 ontology, methods, identifiers and public contracts are frozen under change control.",in_review,P0,methods lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G4-CLOSE,E-V1-CONTRACT-FREEZE,"Criterion G5-C01 is evidence-complete, reviewed and passes in the conductor.",Repository implementation exists; formal evidence acceptance remains outstanding.
WI-G5-02,T4,G5,The complete release candidate rebuilds in a clean environment and matches expected checksums.,in_review,P0,technical lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G4-CLOSE,E-RC-CLEAN-BUILD,"Criterion G5-C02 is evidence-complete, reviewed and passes in the conductor.",An actual clean-environment rebuild and role-separated agent verification remain mandatory.
WI-G5-03,T5,G5,All candidate gold series have role-separated dual review; agent-panel thresholds pass and findings are owner-adjudicated.,in_review,P0,quality and assurance lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G4-CLOSE,E-RC-DATA-ASSURANCE,"Criterion G5-C03 is evidence-complete, reviewed and passes in the conductor.",Actual gold-series evidence and review results remain mandatory; no independent-human claim is permitted.
WI-G5-04,T5,G5,"Role-separated agent-panel methodological review is complete, owner-adjudicated and accompanied by a public limitations response.",in_review,P0,quality and assurance lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G4-CLOSE,E-EXTERNAL-METHODS-REVIEW,"Criterion G5-C04 is evidence-complete, reviewed and passes in the conductor.",The evidence ID is retained for compatibility; the review is advisory and not external assurance.
WI-G5-05,T7,G5,"Security, privacy, rights, disclosure and supply-chain agent-panel review has no unadjudicated P0/P1 finding; no legal-advice claim is made.",in_review,P0,security and data-governance owner,none — single-person exception; owner unavailability pauses governed decisions,WI-G4-CLOSE,E-RC-SECURITY-LEGAL-ASSURANCE,"Criterion G5-C05 is evidence-complete, reviewed and passes in the conductor.",Actual findings and source-specific rights facts remain mandatory and must be owner-adjudicated.
WI-G5-06,T6,G5,"Agent/tool accessibility, localisation, documentation, citation and responsible-use reviews pass with human-participant limitations disclosed.",in_review,P0,product and publication lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G4-CLOSE,E-RC-PUBLICATION-ASSURANCE,"Criterion G5-C06 is evidence-complete, reviewed and passes in the conductor.",No human accessibility local-cultural or lived-experience validation claim is permitted.
WI-G5-07,T8,G5,"Release, rollback, republish, restore, correction and incident rehearsals pass.",in_review,P0,service and release manager,none — single-person exception; owner unavailability pauses governed decisions,WI-G4-CLOSE,E-RC-OPERATIONS-REHEARSAL,"Criterion G5-C07 is evidence-complete, reviewed and passes in the conductor.","Private deterministic rehearsals pass; live service ownership, support and incident authority remain pending."
WI-G5-08,T8,G5,"Immutable archival deposit, signed manifest and build-provenance pathway are ready.",in_review,P0,service and release manager,none — single-person exception; owner unavailability pauses governed decisions,WI-G4-CLOSE,E-RC-PRESERVATION-PROVENANCE,"Criterion G5-C08 is evidence-complete, reviewed and passes in the conductor.",Actual provider-separated custody receipts and sole-owner signing decision remain mandatory.
WI-G5-09,T0,G5,"No P0/P1 defect is open and any P2 exception is public, time-limited and owned.",in_review,P0,programme executive,none — single-person exception; owner unavailability pauses governed decisions,WI-G4-CLOSE,E-RC-DEFECT-REGISTER,"Criterion G5-C09 is evidence-complete, reviewed and passes in the conductor.",Automated fail-closed disposition is implemented; release-candidate review remains pending.
WI-G5-10,T9,G5,"A costed 12-month sole-owner 1.x operating and resource plan is committed, including an unavailable-owner pause condition.",in_review,P0,international partnerships lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G4-CLOSE,E-RC-OPERATING-PLAN,"Criterion G5-C10 is evidence-complete, reviewed and passes in the conductor.",A dated owner time infrastructure and budget commitment remains mandatory before release.
WI-G5-CLOSE,T0,G5,Assemble and approve the G5 gate evidence pack,in_review,P0,programme executive,none — single-person exception; owner unavailability pauses governed decisions,WI-G5-01;WI-G5-02;WI-G5-03;WI-G5-04;WI-G5-05;WI-G5-06;WI-G5-07;WI-G5-08;WI-G5-09;WI-G5-10,,All mandatory G5 criteria pass and the gate decision is recorded.,Deterministic pack assembly is implemented; the sole owner decides after the exact candidate evidence and panel advice are bound.
WI-G6-01,T0,G6,Every mandatory v1.0 release criterion has accepted evidence and signed accountable approval.,in_review,P0,programme executive,none — single-person exception; owner unavailability pauses governed decisions,WI-G5-CLOSE,E-V1-CRITERIA-MATRIX;E-V1-RELEASE-DECISION,"Criterion G6-C01 is evidence-complete, reviewed and passes in the conductor.",Criterion matrix and fail-closed decision template are implemented; accountable signatures remain pending.
WI-G6-02,T5,G6,The final release contains no open P0/P1 data or methodological defect.,in_review,P0,quality and assurance lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G5-CLOSE,E-V1-FINAL-QUALITY-REPORT,"Criterion G6-C02 is evidence-complete, reviewed and passes in the conductor.",Defect/quarantine controls are represented; final real-data quality acceptance remains pending.
WI-G6-03,T7,G6,"The final release contains no open critical or unaccepted high-impact security, privacy, rights or disclosure finding.",in_review,P0,security and data-governance owner,none — single-person exception; owner unavailability pauses governed decisions,WI-G5-CLOSE,E-V1-FINAL-ASSURANCE,"Criterion G6-C03 is evidence-complete, reviewed and passes in the conductor.",Current agent-panel findings and source-specific rights facts require final owner adjudication; no specialist-assurance claim.
WI-G6-04,T4,G6,"The v1.0 artefact is reproducible, checksummed, signed or attested, contract-tested and verified by a role-separated agent from the immutable candidate.",in_review,P0,technical lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G5-CLOSE,E-V1-ARTEFACT-VERIFICATION,"Criterion G6-C04 is evidence-complete, reviewed and passes in the conductor.",Actual final artefact signatures attestations and reproducibility receipts remain mandatory.
WI-G6-05,T8,G6,The immutable release exists in two technically and provider-separated locations under owner custody and restore has been tested.,in_review,P0,service and release manager,none — single-person exception; owner unavailability pauses governed decisions,WI-G5-CLOSE,E-V1-ARCHIVE-RESTORE,"Criterion G6-C05 is evidence-complete, reviewed and passes in the conductor.",Actual two-location receipts and tested restore evidence remain mandatory.
WI-G6-06,T8,G6,"Owner-held service responsibility, response targets, correction channel, monitoring, release calendar and unavailable-owner pause are live.",in_review,P0,service and release manager,none — single-person exception; owner unavailability pauses governed decisions,WI-G5-CLOSE,E-V1-SERVICE-HANDOVER,"Criterion G6-C06 is evidence-complete, reviewed and passes in the conductor.",Live owner commitments monitoring and response evidence remain mandatory.
WI-G6-07,T6,G6,"All public products, methods, limitations, accessibility and citation materials are published and version-linked.",in_review,P0,product and publication lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G5-CLOSE,E-V1-PUBLICATION-PACK,"Criterion G6-C07 is evidence-complete, reviewed and passes in the conductor.",Agent/tool accessibility evidence and a separate sole-owner publication authorization remain mandatory; human-validation limitations must be disclosed.
WI-G6-08,T9,G6,The owner records a dated resource commitment covering at least twelve months of post-release maintenance and international verification.,in_review,P0,international partnerships lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G5-CLOSE,E-V1-FUNDING-CONTINUITY,"Criterion G6-C08 is evidence-complete, reviewed and passes in the conductor.",Actual owner time infrastructure and budget commitment remains mandatory.
WI-G6-09,T0,G6,"The programme has a published benefits, harms and misuse monitoring plan for the 1.x line.",in_review,P0,programme executive,none — single-person exception; owner unavailability pauses governed decisions,WI-G5-CLOSE,E-V1-IMPACT-MISUSE-PLAN,"Criterion G6-C09 is evidence-complete, reviewed and passes in the conductor.",Repository implementation exists; formal evidence acceptance remains outstanding.
WI-G6-CLOSE,T0,G6,Assemble and approve the G6 gate evidence pack,in_review,P0,programme executive,none — single-person exception; owner unavailability pauses governed decisions,WI-G6-01;WI-G6-02;WI-G6-03;WI-G6-04;WI-G6-05;WI-G6-06;WI-G6-07;WI-G6-08;WI-G6-09,,All mandatory G6 criteria pass and the gate decision is recorded.,Deterministic pack assembly is implemented; the sole owner decides against the exact release digest and factual evidence.
WI-G3-MED-00,T4,G3,Adopt the maximal public preservation-first medallion and federation architecture.,accepted,P0,technical lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G1-CLOSE,E-PUBLIC-MEDALLION-POLICY-20260826,"The public-only custody model, canonical layers, safety boundary, repository topology, federation contracts, contingencies and maturity path are digest-bound and owner accepted.","Accepted architecture direction; this does not claim that public replicas, transformations, federation endpoints or mature layers already exist."
WI-G3-MED-01,T3,G3,Create the public B0 exact-edition archive and migrate every public-safe source object from local-only custody.,accepted,P0,acquisition lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G3-MED-00,E-PUBLIC-B0-PRESERVATION,"Every in-scope safe source edition has native bytes or WARC/WACZ, complete capture metadata, SHA-256 and BLAKE3, and two verified provider-separated public retrieval locators; no unique durable local copy remains.",Accepted for the bounded six-object cohort; new editions require append-only replication and fresh receipts.
WI-G3-MED-02,T3,G3,"Operate append-only public source monitoring, replay and supersession.",accepted,P1,acquisition lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G3-MED-01,E-PUBLIC-PRESERVATION-MONITORING,"Scheduled captures publish drift and availability receipts, changed bytes append snapshots, supersession is acyclic, and public history rebuilds without local cache state.","Accepted bounded public monitoring, append-only receipt publication and acyclic replay evidence for the six-object B0 cohort."
WI-G3-MED-03,T7,G3,Enforce the public archive safety boundary across source and derived objects.,accepted,P0,security and data-governance owner,none — single-person exception; owner unavailability pauses governed decisions,WI-G3-MED-00,E-PUBLIC-ARCHIVE-SAFETY,"Pre-publication secret, prohibited-data, identifying-content, disclosure, archive-safety and small-cell controls fail closed and emit public-safe disposition receipts.",Accepted for the bounded current public B0 cohort; future additions must pass the same contract.
WI-G4-MED-01,T4,G4,"Implement executable B0, B1 Bronze, Silver, Gold, Platinum and orthogonal quarantine contracts.",accepted,P0,technical lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G3-MED-01;WI-G3-MED-03,E-MEDALLION-LAYER-CONTRACTS,"Versioned schemas, compatibility rules and negative tests make every promotion explicit and prevent quarantine or later-layer output from proving an earlier layer mature.","Accepted repository-owned executable layer contracts only; downstream lineage, qualification, publication and gate controls remain separate."
