decision_id,date,authority,decision,rationale,alternatives,affected_tracks,evidence_path,status
D-PILOT-SCOPE-2026-08-03,2026-08-03,"repository owner (decision requested; not yet supplied)",decision_packet_presented,"GBR-EAW has a locally retained rights-cleared candidate packet but is outside the approved five-candidate G2 scope. The owner must select whether to retain the original five or add GBR-EAW; no candidate or observation is promoted until that scope decision and the remaining G2 evidence controls are accepted.","Option A retain five; Option B add GBR-EAW; Option C replace one candidate; Option D metadata-only preparation",T1;T2,docs/governance/pilot-scope-substitution-options-2026-08-03.md;docs/methods/gbr-eaw-candidate-preparation-2026-08-03.md,awaiting_owner_scope_selection
D-G1-CURRENT-PACKET-2026-08-03,2026-08-03,"repository owner (decision requested; not yet supplied)",decision_packet_presented,"Regenerated the G1 owner packet after superseding the stale 2026-08-02 digest. Recommended Option A retains owner accountability with an analyst-agent continuity deputy; specialist authorities and downstream evidence gates remain separate. G1 remains conditional until the owner supplies the required accountable fields.","Option B no-deputy exception; Option C formal external delegation; Option D defer",T0;T7;T9,docs/governance/g1-owner-decision-packet-2026-08-03.md,awaiting_owner_selection
D-G1-OPTION-A-REAFFIRM-2026-08-03,2026-08-03,"repository owner (explicit approval in Codex conversation)",approved_in_principle,"Owner approved the recommended G1 Option A policy: owner retains governance and release accountability; analyst-agent deputy provides operational continuity only; panels remain advisory; specialist and downstream authority gates remain separate. This does not replace the required immutable reference, conditions and digest-bound acceptance record.","Option B no-deputy exception; Option C formal external delegation; Option D defer",T0;T7;T9,docs/governance/g1-owner-decision-packet-2026-08-03.md,formal_digest_bound_acceptance_pending
D-G1-OWNER-ACCEPTANCE-2026-08-03,2026-08-03,"repository owner (founder; account/repository owner)",owner_acceptance_recorded,"Owner selected and accepted the recommended Option A operating model with no conditions. The exact packet binding supplied was docs/governance/g1-owner-decision-packet-2026-08-03.md@c32b6dbf613ea1e342a704c4f72b5124cf536fa63a75e078b1e68909c30e4e6c. The Conductor refused gate promotion because G1 readiness controls, criteria, risks and evidence-assured maturity remain incomplete; this record is accountable approval, not a passed gate.","None; acceptance was requested without conditions",T0;T7;T9,docs/governance/g1-owner-decision-packet-2026-08-03.md,recorded_owner_acceptance_gate_readiness_pending
D-G1-GATE-OPTIONS-APPROVED-2026-08-03,2026-08-03,"repository owner (founder; account/repository owner)",approved_operating_policy,"Owner approved the recommended external-gate model: owner-led governance with an analyst-agent continuity deputy; named specialist sign-off for ethics, security, architecture, rights and methods; fail-closed residual-risk handling; original five-candidate pilot unless a scope decision changes it; named local/independent reviewers; and explicit per-enquiry authorization. This approves policy choices only and does not create authorities, evidence or G1 acceptance.","External delegation; no-deputy exception; metadata-only pilot; no-enquiry fallback",T0;T1;T2;T3;T7;T8;T9,docs/governance/external-authority-gate-plan-2026-08-02.md;docs/governance/g1-owner-acceptance-bundle-2026-08-03.md,policy_approved_authority_and_evidence_pending
D-RIGHTS-METADATA-ONLY-2026-08-03,2026-08-03,"repository owner (founder; account/repository owner)",approved_operating_policy,"Owner approved Option A for unresolved source rights: retain metadata and citations only; do not redistribute source bytes or extracts; use permission-based clearance as the recovery path; keep GBR-EAW outside pilot scope until separately selected. This policy does not clear any exact edition or authorize publication.","Option B permission-based use; Option C exclude unresolved sources; Option D owner residual-risk acceptance",T2;T3;T6,docs/governance/source-rights-decision-record-template-2026-08-03.md;docs/methods/public-rights-terms-recheck-2026-08-03.md,policy_approved_individual_rights_decisions_pending
D-RIGHTS-LAWFUL-REDISTRIBUTION-2026-08-03,2026-08-03,"repository owner (founder; account/repository owner)",approved_operating_policy,"Owner superseded the prior metadata-only preference with a lawful-redistribution policy: source bytes and extracts may be redistributed where exact-edition terms or written permission expressly allow it, with attribution and conditions preserved. This does not grant third-party rights; unresolved editions remain metadata/citation-only or quarantined.","Retain metadata-only for all sources; exclude unresolved editions",T2;T3;T6,docs/governance/source-rights-decision-record-template-2026-08-03.md;docs/methods/public-rights-terms-recheck-2026-08-03.md,owner_policy_allows_lawful_redistribution_exact_rights_pending
D-RIGHTS-GOVERNMENT-DEFAULT-2026-08-03,2026-08-03,"repository owner (founder; account/repository owner)",approved_operating_policy,"Owner selected Option B: government-origin data is presumptively reusable for project purposes. Safety override: this presumption never overrides explicit third-party copyright, database rights, terms of use, signed data-use agreements, edition-specific restrictions or attribution conditions. Exact-edition exceptions remain fail-closed and require a rights record before redistribution.","Option A conditional lawful redistribution; Option C permission-first; Option D metadata-only",T2;T3;T6,docs/governance/source-rights-decision-record-template-2026-08-03.md,owner_policy_presumption_with_exact_edition_exceptions
D-G1-PACKET-2026-08-02,2026-08-02,"repository owner (decision requested; not yet supplied)",decision_packet_presented,"Presented Options A-D for accountable G1 decision. Recommended Option A: owner acceptance with an operational agent continuity deputy, while retaining separate specialist and downstream gates. G1 must remain unaccepted until the owner supplies the selected option, authority, date, immutable reference and conditions.","Option B no-deputy exception; Option C formal external delegation; Option D defer",T0;T7;T9,docs/governance/g1-owner-decision-packet-2026-08-02.md,awaiting_owner_selection
D-G1-OPTION-A-2026-08-02,2026-08-02,"repository owner (explicit approval in Codex conversation)",approved_in_principle,"Owner approved the recommended Option A operating model: owner retains G1 and release accountability; a named agent deputy may provide operational continuity only; agent panels provide advisory input; specialist, rights, consent, operations, staffing and funding gates remain separate. This is policy approval, not the signed digest-bound G1 acceptance record.","Options B-D in g1-owner-decision-packet-2026-08-02.md",T0;T7;T9,docs/governance/g1-owner-decision-packet-2026-08-02.md,formal_digest_bound_acceptance_pending
D-RGT-COV-PACKET-2026-08-02,2026-08-02,"repository owner (decision requested; not yet supplied)",decision_packet_presented,"Presented combined recommendation L1+R1: use an evidence-complete pilot subset with source-backed local/second review; publish only clearly permissive exact editions; retain uncertain sources metadata/citation-only or exclude; do not send enquiries without explicit approval. The packet supplies options and contingencies but does not create local verification or rights clearance.","Local L2/L3/L4; rights R2/R3/R4 in rights-local-verification-decision-packet-2026-08-02.md",T2;T3,docs/governance/rights-local-verification-decision-packet-2026-08-02.md,awaiting_owner_selection_and_external_evidence
D-RGT-COV-L1R1-2026-08-02,2026-08-02,"repository owner (explicit approval in Codex conversation)",approved_in_principle,"Owner approved L1+R1: limit pilot claims to an evidence-complete subset with source-backed local/second review; publish only clearly permissive exact editions; retain uncertain material metadata/citation-only or exclude; and require explicit approval before enquiries. This policy does not create local verification, independent review or rights clearance.","L2/L3/L4 and R2/R3/R4 in rights-local-verification-decision-packet-2026-08-02.md",T2;T3,docs/governance/rights-local-verification-decision-packet-2026-08-02.md,external_evidence_and_authority_pending
D-ASSURANCE-PACKET-2026-08-02,2026-08-02,"repository owner (decision requested; not yet supplied)",decision_packet_presented,"Panel recommendation: use role-separated digest-bound agent pre-assurance now, followed by named accountable or specialist sign-off for G5/G6. Required packet fields, options and fail-closed contingencies are recorded; panel consensus cannot constitute independent assurance.","Options B-D in independent-assurance-decision-packet-2026-08-02.md",T1;T4;T5;T6;T7;T8;T9,docs/governance/independent-assurance-decision-packet-2026-08-02.md,awaiting_owner_selection_and_specialist_assurance
D-ASSURANCE-A-2026-08-02,2026-08-02,"repository owner (explicit approval in Codex conversation)",approved_in_principle,"Owner approved assurance Option A: role-separated digest-bound agent pre-assurance now, followed by named accountable or specialist sign-off for G5/G6. Agent reports remain advisory and cannot create independent assurance, legal clearance, consent, signatures, custody, funding or gate acceptance.","Options B-D in independent-assurance-decision-packet-2026-08-02.md",T1;T4;T5;T6;T7;T8;T9,docs/governance/independent-assurance-decision-packet-2026-08-02.md,specialist_assurance_and_owner_adjudication_pending
D-CONSENT-SAFE-PACKET-2026-08-02,2026-08-02,"repository owner (decision requested; not yet supplied)",decision_packet_presented,"Consent/safeguarding panel recommends C1 now: synthetic, non-participatory rehearsal with no participant data. C2 consented beta requires a named safeguarding authority, digest-bound protocol, accessible consent, withdrawal/deletion, support, incident and harms evidence. Panel advice cannot create consent or safeguarding clearance.","Options C2-C4 in consent-safeguarding-decision-packet-2026-08-02.md",T6;T9,docs/governance/consent-safeguarding-decision-packet-2026-08-02.md,awaiting_owner_selection_and_safeguarding_authority
D-CONSENT-C1-2026-08-02,2026-08-02,"repository owner (explicit approval in Codex conversation)",approved_in_principle,"Owner approved C1: synthetic, non-participatory rehearsal only; no participant data, recruitment, beta or participant-derived/representation claims. C2 requires a named safeguarding authority, digest-bound consent protocol, protections, incident handling and accountable acceptance. Agent advice cannot create consent or safeguarding clearance.","Options C2-C4 in consent-safeguarding-decision-packet-2026-08-02.md",T6;T9,docs/governance/consent-safeguarding-decision-packet-2026-08-02.md,safeguarding_authority_and_consent_evidence_pending
D-OPS-CUST-SIGN-PACKET-2026-08-02,2026-08-02,"repository owner (decision requested; not yet supplied)",decision_packet_presented,"Operations/custody/signing panels recommend O1: private digest-bound live-like rehearsal now, followed by named service, custody and signing authorities before G5/G6. Required evidence includes two-location restore, RPO/RTO, key lifecycle, support, monitoring, staffing and funding. Panel advice and local rehearsal cannot host, custody, sign, fund or accept a gate.","Options O2-O4 in live-operations-custody-signing-decision-packet-2026-08-02.md",T8;T9,docs/governance/live-operations-custody-signing-decision-packet-2026-08-02.md,awaiting_owner_selection_and_operations_authority
D-OPS-O1-2026-08-02,2026-08-02,"repository owner (explicit approval in Codex conversation)",approved_in_principle,"Owner approved O1: run a private digest-bound live-like rehearsal now; obtain named service/custody/signing authorities before G5/G6; require two-location restore, RPO/RTO, key lifecycle, support, monitoring, staffing and funding evidence; keep the candidate private and unsigned meanwhile.","Options O2-O4 in live-operations-custody-signing-decision-packet-2026-08-02.md",T8;T9,docs/governance/live-operations-custody-signing-decision-packet-2026-08-02.md,operations_authority_and_signed_provenance_pending
D-STAFF-FUND-PACKET-2026-08-02,2026-08-02,"repository owner (decision requested; not yet supplied)",decision_packet_presented,"Staffing/funding panels recommend S1 for planning with S3 active until commitments exist: owner-accountable model, named agent operating deputy, committed specialist/service roles and a 12-month resource plan. Actual date-bound roles, coverage, budget, payer/approval and support commitments are required before G5/G6.","Options S2-S4 in staffing-funding-decision-packet-2026-08-02.md",T8;T9,docs/governance/staffing-funding-decision-packet-2026-08-02.md,awaiting_owner_selection_and_resource_commitments
D-STAFF-FUND-S1-2026-08-02,2026-08-02,"repository owner (explicit approval in Codex conversation)",approved_in_principle,"Owner approved S1 for planning with S3 active until commitments exist: owner-accountable model, named agent operating deputy, committed specialist/service roles and a 12-month resource plan. No live service, G6 claim or funding evidence is inferred until actual date-bound commitments are supplied.","Options S2-S4 in staffing-funding-decision-packet-2026-08-02.md",T8;T9,docs/governance/staffing-funding-decision-packet-2026-08-02.md,resource_commitments_and_owner_adjudication_pending
D-G6-RELEASE-PACKET-2026-08-02,2026-08-02,"repository owner (decision requested; not yet supplied)",decision_packet_presented,"Final-release panels recommend F1: owner remains final release authority and signs a digest-bound G6 decision only after G1-G5 pass. Required evidence includes complete release/restore/assurance/funding/service packets, rights-cleared products, signed provenance, two-location custody, live support and no unresolved critical/high findings.","Options F2-F4 in g6-final-release-authority-decision-packet-2026-08-02.md",T0;T1;T2;T3;T4;T5;T6;T7;T8;T9,docs/governance/g6-final-release-authority-decision-packet-2026-08-02.md,awaiting_owner_selection_and_all_prior_gates
D-G6-F1-2026-08-02,2026-08-02,"repository owner (explicit approval in Codex conversation)",approved_in_principle,"Owner approved F1: retain final G6 release authority; use agent-panel pre-release advice; sign only after G1-G5 and all mandatory release evidence pass. The candidate remains private/unsigned until that point; panel advice cannot authorize publication, signing, custody or release.","Options F2-F4 in g6-final-release-authority-decision-packet-2026-08-02.md",T0;T1;T2;T3;T4;T5;T6;T7;T8;T9,docs/governance/g6-final-release-authority-decision-packet-2026-08-02.md,prior_gates_and_signed_release_evidence_pending
D-G1-CLOSEOUT-PLAN-2026-08-02,2026-08-02,"repository owner (decision requested; not yet supplied)",closeout_plan_presented,"Agent panel classified G1 requirements into owner-decidable, agent-evidenced and non-substitutable external items. Recommended route is owner digest-bound closure for the first class, role-separated panel evidence for the second, and explicit pending/waived-for-scope/excluded statuses for the third. Removing all external dependency requires private metadata-only/synthetic scope and is not a passed public-release gate.","Full public/live scope with external gates; defer G1; scope reduction in g1-owner-decision-packet-2026-08-02.md",T0;T1;T2;T3;T4;T5;T6;T7;T8;T9,docs/governance/g1-owner-decision-packet-2026-08-02.md;docs/governance/programme-gate-resolution-plan-2026-08-02.md,awaiting_owner_scope_and_digest_bound_decision
D-G1-OWNER-REAFFIRM-2026-08-03,2026-08-03,"repository owner (explicit approval in Codex conversation)",owner_reaffirmed_g1,"Owner reaffirmed approval of the G1 Option A governance model and requested G1 advancement. The Conductor must still require all G1 evidence, accountable assignments and assurance criteria before an accepted gate decision can be recorded.","Defer until criteria are complete",T0;T1;T2;T7;T9,docs/governance/g1-owner-decision-packet-2026-08-02.md;docs/programme/generated/status.md,approval_recorded_gate_acceptance_blocked
D-G2-REAL-PILOT-PLAN-2026-08-03,2026-08-03,"governance owner (repository owner)",approved_preparation_plan,"Approved preparation of a redundant, receipt-bound real-pilot evidence sourcing plan for INT, AUS, USA-MN, BRA and ZAF. No outbound contact, rights clearance, independent authority or gate acceptance is inferred.","Synthetic-only evidence; defer all pilot preparation",T1;T2;T3;T5;T7;T8,docs/governance/real-pilot-evidence-sourcing-plan-2026-08-03.md;config/real_pilot_evidence_sourcing.toml,preparation_implemented_external_evidence_pending
D-NEXT-INTAKE-2026-08-03,2026-08-03,"governance owner (repository owner)",approved_intake_plan,"Approved the dependency-ordered next evidence intake: G1 authority packet, G2 real pilot packet, then G3 coverage/rights packet. Fail-closed acceptance, independent review, owner adjudication and G6 publication boundary remain mandatory.","Advance synthetic evidence as real; publish a preview; bypass authority fields",T0;T1;T2;T3;T5;T7;T8,docs/governance/next-evidence-intake-plan-2026-08-03.md;config/next_evidence_intake.toml,queued_external_inputs
D-NEXT-INTAKE-OPTIONS-2026-08-03,2026-08-03,"governance owner (repository owner)",approved_recommendation,"Recommended Option D: one evidence-complete candidate plus dual-route capture for the remaining candidates, with metadata-only/quarantine fallbacks. This advances evidence preparation without treating panels or synthetic runs as authority.","Full five-candidate pilot; metadata-only for all; defer all preparation",T1;T2;T3;T5;T7;T8,docs/governance/next-evidence-intake-options-2026-08-03.md;config/next_evidence_intake.toml,option_d_preparation_implemented
D-CANDIDATE-BLOCKER-2026-08-03,2026-08-03,"governance owner (repository owner)",candidate_selection_blocked,"No approved five-candidate G2 member currently has complete rights, access, edition and independent-review evidence. England/Wales is rights-cleared but outside the approved G2 scope; substitution requires a separate scope decision.","Substitute England/Wales without decision; promote unknown-rights candidate; synthetic-only pilot",T1;T2;T3;T5;T7,docs/governance/evidence-complete-candidate-blocker-2026-08-03.md,selection_blocked_dual_route_queue_retained
D-SCOPE-OPTIONS-2026-08-03,2026-08-03,"governance owner (decision requested)",scope_options_presented,"Panel recommendation is Option B: add GBR-EAW as a sixth candidate while retaining the approved five. This avoids silent substitution and uses the only locally rights-classified edition; explicit governance-owner selection is still required.","A retain five; C replace one; D metadata-only six",T1;T2;T3;T5;T7,docs/governance/pilot-scope-substitution-options-2026-08-03.md,awaiting_scope_selection
D-ASSURANCE-PANEL-DELEGATION-2026-08-03,2026-08-03,"governance owner (repository owner)",approved_operating_policy,"Repository-owned assurance preparation is delegated to a role-separated panel of analyst agents producing digest-bound advice, options, recommendations, contingencies and dissent records. Panel advice cannot be labelled independent assurance or substitute authority, legal clearance, consent, specialist sign-off or release acceptance.","Retain independent-review preparation; panel plus accountable adjudication; quarantine where authority remains absent",T0;T1;T4;T5;T6;T7;T8;T9,docs/governance/agent-panel-assurance-delegation-2026-08-03.md;config/next_evidence_intake.toml,panel_advice_active_authority_gates_fail_closed
D-RISK-ADJUDICATION-2026-08-03,2026-08-03,"repository owner and accountable governance authority (founder; account/repository owner)",approved_bounded_risk_policy,"Approved agent-panel adjudication for unresolved risks; evidence-complete subset preparation; metadata/citation-only handling for unclear rights; suppression and anti-ranking safeguards; and fail-closed security, custody and release controls. Approval does not accept unresolved critical/high risks, create independent authority, clear rights, authorise publication or promote any gate.","Quarantine affected source/product; narrow scope; downgrade claims; record residual risk; defer gate",T0;T1;T2;T3;T4;T5;T6;T7;T8;T9,docs/governance/agent-panel-assurance-delegation-2026-08-03.md;programme/risk_register.csv,approved_preparation_only_release_and_gate_blockers_remain
D-NON-SUB-EVIDENCE-PLAN-2026-08-03,2026-08-03,"repository owner and accountable governance authority (founder; account/repository owner)",approved_sourcing_plan,"Approved dependency-ordered sourcing of non-substitutable evidence using primary and triangulation routes, with metadata/quarantine/no-response fallbacks. Triangulation corroborates provenance or interpretation but cannot create authority, consent, legal permission, specialist sign-off, custody, funding or gate acceptance.","Keep gate blocked; narrow scope; metadata-only; synthetic rehearsal; draft follow-up requiring explicit send approval",T0;T1;T2;T3;T5;T7;T8;T9,docs/governance/non-substitutable-evidence-sourcing-plan-2026-08-03.md;config/next_evidence_intake.toml,plan_approved_implementation_pending_external_records
D-NON-SUB-EVIDENCE-IMPLEMENTED-2026-08-03,2026-08-03,"repository owner and accountable governance authority (founder; account/repository owner)",repository_implementation_complete,"Implemented the receipt-bound intake register, route assignments, triangulation controls and fail-closed fallbacks. No external authority, response, permission, consent, funding, custody or signed record was fabricated or inferred.","Run panel preparation; monitor existing responses; prepare unsent packets; retain pending_authority statuses",T0;T1;T2;T3;T5;T7;T8;T9,docs/governance/non-substitutable-evidence-intake-register-2026-08-03.md;config/next_evidence_intake.toml,repository_actions_complete_external_records_pending
D-OWNER-SCOPE-APPROVAL-2026-08-03,2026-08-03,"repository owner and accountable governance authority (founder; account/repository owner)",approved_repository_scope,"Owner approves repository-owned implementation, panel preparation, records, validation and local evidence handling. Third-party authority, consent, permission, custody, funding and signed records remain non-substitutable; outbound contact still requires exact recipient/content approval immediately before sending.","Proceed locally; keep external fields pending; request exact send approval when needed",T0;T1;T2;T3;T4;T5;T6;T7;T8;T9,docs/governance/non-substitutable-evidence-intake-register-2026-08-03.md;config/next_evidence_intake.toml,repository_scope_approved_external_authority_boundary_retained
D-TRACK-ROADMAP-2026-08-03,2026-08-03,"repository owner and accountable governance authority (founder; account/repository owner)",approved_implementation_sequence,"Approved Option A sequential repository implementation: T3 acquisition/preservation, T4 engineering, T5 quality, T6 products, T7 security/legal automation, T8 operations rehearsals, then T9 localisation/sustainability structures. Options B and C remain documented alternatives; gate acceptance and external authority boundaries remain fail-closed.","Parallelise T3/T4/T7 only where inputs are bound; product-first is prohibited for release claims",T3;T4;T5;T6;T7;T8;T9,docs/governance/track-implementation-roadmap-2026-08-03.md;config/next_evidence_intake.toml,roadmap_bound_repository_implementation_external_evidence_pending
D-RIGHTS-OWNER-ASSERTION-2026-08-03,2026-08-03,"repository owner and accountable governance authority (founder; account/repository owner)",owner_rights_policy_assertion,"Owner asserts project permission to use and redistribute project-controlled materials. This closes the repository-policy uncertainty, but does not override third-party copyright, database rights, API terms, signed agreements, privacy restrictions or exact-edition conditions recorded for external sources.","Apply owner policy to project-authored materials; retain metadata-only/quarantine for contrary or unresolved source terms",T3;T7,docs/methods/exact-edition-rights-screening-2026-08-03.md;docs/governance/source-rights-review-queue.csv,project_policy_closed_source_specific_exceptions_remain
D-G2-CONCORDANCE-POLICY-20260815,2026-08-15,"repository owner and sole accountable decision-maker",approved_pre_extraction_concordance_policy,"Approved 100% concordance for critical source, jurisdiction, locator, value, denominator, statistic, unit, time, cohort/population, matter and indicator fields; at least 99% overall populated-field concordance; no critical waiver; quarantine or exclusion on unresolved discrepancy; recomputation from two separate digest-bound outputs.","Uniform 99% policy; qualitative adjudication only",T1;T5,docs/methods/g2-concordance-policy-owner-decision-2026-08-15.md;config/g2_concordance_policy.json,approved_for_four_row_formal_rerun_only_no_value_rights_gate_publication_or_release_acceptance
D-G2-PACKET02-REFREEZE-20260815,2026-08-15,"repository owner and sole accountable decision-maker",approved_packet02_refreeze_and_rerun,"Approved a superseding packet bound to the hardened comparator and atomic semantic contract; unchanged 100% critical and 99% overall thresholds; explicit-only dates; AUS/ZAF hard quarantine; BRA/USA-MN quarantine; controlled local-private evidence handling and metadata/citation-only public boundary.","Retain unrestricted narrative equality; exclude ambiguous rows; weaken or fuzzy-match thresholds",T1;T5;T7,docs/governance/g2-packet02-refreeze-owner-decision-2026-08-15.md;docs/governance/g2-formal-rerun-owner-decision-packet-2026-08-15.md,approved_repository_owned_refreeze_and_fresh_dual_rerun_no_value_rights_gate_publication_or_release_acceptance
D-G2-PACKET04-METHODS-20260815,2026-08-15,"repository owner and sole accountable decision-maker",approved_packet04_hierarchy_uncertainty_and_rerun,"Approved exact BRA USA-MN and AUS hierarchy mappings and a deterministic two-state uncertainty rule for the four-row packet-04 rerun; authorized a fresh digest-bound packet and dual role-separated extraction with unchanged thresholds dates quarantines and public boundary.","Rerun unchanged; make uncertainty noncritical; lower thresholds",T1;T5;T7,docs/governance/g2-packet04-methods-owner-decision-2026-08-15.md;docs/governance/g2-packet04-methods-owner-decision-packet-2026-08-15.md,approved_fresh_packet04_only_no_value_rights_gate_contact_publication_or_release_acceptance
D-G2-PACKET05-DOMAIN-20260815,2026-08-15,"repository owner and sole accountable decision-maker",approved_final_packet05_domain_calibration,"Approved the complete nearest-enclosing broader-domain heading rule and four exact domain labels; authorized one final four-row digest-bound packet and dual role-separated extraction; prohibited packet 06 and preserved all thresholds quarantines and public boundaries.","Exclude AUS and ZAF; terminate the four-row exercise",T1;T5;T7,docs/governance/g2-packet05-domain-owner-decision-2026-08-15.md;docs/governance/g2-packet05-domain-owner-decision-packet-2026-08-15.md,approved_final_calibration_only_no_exclusion_rights_gate_contact_publication_release_or_g2_acceptance
D-G2-PACKET05-DISPOSITION-20260815,2026-08-15,"repository owner and sole accountable decision-maker",terminated_four_row_calibration,"Terminated the final packet-05 four-row calibration after one non-waivable critical mismatch; preserved packets 01-05 as immutable failed evidence; prohibited packet 06 repair waiver scope-adjusted pass and retrospective promotion; authorized preparation only of a new prospective unseen-edition blind-holdout plan.","Post-failure BRA exclusion and three-row sensitivity recomputation",T1;T5;T7,docs/governance/g2-packet05-disposition-owner-decision-2026-08-15.md;docs/governance/g2-packet05-disposition-owner-decision-packet-2026-08-15.md;docs/methods/g2-real-pilot-packet05-evidence-index-2026-08-15.md,calibration_terminated_g2_unaccepted_holdout_planning_only
D-G2-BLIND-HOLDOUT-DESIGN-20260815,2026-08-15,"repository owner and sole accountable decision-maker",approved_option_a_metadata_only_preparation,"Approved the signed 24-primary six-reserve prospective blind-holdout design and authorized metadata-only candidate discovery deterministic selection exposure/non-overlap evidence and public terms rights privacy security pre-screening; prohibited source-byte acquisition content inspection extraction contact publication release rights acceptance and G2 passage.","Twelve-edition feasibility holdout; defer candidate preparation",T1;T5;T7,docs/governance/g2-blind-holdout-design-owner-decision-2026-08-15.md;docs/governance/g2-blind-holdout-design-owner-decision-packet-2026-08-15.md,design_accepted_metadata_phase_only_execution_requires_separate_exact_manifest_owner_decision
D-G2-BLIND-HOLDOUT-INTAKE-STOP-20260815,2026-08-15,"repository owner and sole accountable decision-maker",approved_option_a_two_stage_structural_preflight_design,"Accepted the metadata intake as a valid fail-closed stop and authorized preparation only of a prospectively frozen two-stage structural-preflight design with an oversampled metadata frame deterministic order exact eligibility and exposure controls role isolation stopping rules resources and a proposed acquisition manifest.","Capped metadata-only sweep; replace raster stratum; defer or terminate",T1;T5;T7,docs/governance/g2-blind-holdout-intake-stop-owner-decision-2026-08-15.md;docs/governance/g2-blind-holdout-intake-stop-owner-decision-packet-2026-08-15.md;docs/methods/g2-blind-holdout-metadata-intake-evidence-2026-08-15.md,successor_design_preparation_only_source_access_execution_and_g2_not_authorized
D-G2-STRUCTURAL-PREFLIGHT-URL-RESOLUTION-20260815,2026-08-15,"repository owner and sole accountable decision-maker",approved_option_a_exact_html_resolution,"Accepted the signed 44-edition no-source-access baseline and authorized only a fresh metadata_url_resolver agent to visit the exact 33 official HTML landing pages and record exact PDF locators plus public terms rights privacy and security metadata with digest-bound receipts.","Bounded 96-candidate metadata-only expansion; defer",T1;T5;T7,docs/governance/g2-structural-preflight-url-resolution-owner-decision-2026-08-15.md;docs/governance/g2-structural-preflight-owner-decision-packet-2026-08-15.md;data/methods/g2/G2HOLDOUT-STRUCTURAL-PREFLIGHT-20260815-01/design/proposed-url-resolution-manifest.json,authorized_html_metadata_resolution_only_no_pdf_head_file_content_contact_publication_release_or_g2_acceptance
