assessment_id,jurisdiction_id,assessed_at,assessor_role,coverage_state,official_source_state,negative_finding_state,completeness_basis,next_review_due,review_status,evidence_path,notes
COV-011,USA-MN,2026-08-14T14:40:54Z,analyst-agent,partial,found,not_assessed,"Official dashboard and performance-measures sources confirmed; the 2024 statewide report was preserved through a public-browser fallback after controlled HTTP retrieval returned 403. Bulk extracts still require a signed agreement, and family taxonomy, completeness, reuse and comparability remain unresolved.",2026-09-14,draft,data/raw/manifests/ACQ-USA-MN-MJB-20260814T144054Z-32931494.json,"Authentic edition bytes are locally preserved and digest-bound. No observation is promoted pending role-separated review, methods adjudication, rights disposition and owner acceptance."
COV-012,ESP,2026-07-31T08:58:23Z,analyst-agent,partial,found,not_assessed,Official CGPJ topic page reviewed; geography and frequency and historical series identified.,2026-08-31,reviewed,docs/methods/public-source-follow-up-2026-07-31.md,"Quarterly/annual dissolution, matrimonial-measure, custody and support series are public by multiple geographies, including 1981-2024; definitions and rights still require edition review."
COV-013,BRA,2026-08-01T05:23:51Z,analyst-agent,partial,found,not_assessed,"Checksummed official CNJ Justiça em Números 2026 edition reviewed; DataJud-based national statistics and dynamic-panel caveats are documented, while family taxonomy, completeness, and reuse remain unresolved.",2026-09-01,reviewed,data/raw/manifests/ACQ-BRA-CNJ-DATAJUD-20260801T052351Z-3415D516.json,"Pilot candidate remains conditional; report is metadata-only pending rights review and no observations are promoted."
COV-014,IND,2026-07-31T08:58:23Z,analyst-agent,partial,found,not_assessed,Official NJDG public interface and coverage statement reviewed; no family-taxonomy or reuse inference.,2026-08-31,reviewed,docs/methods/public-source-follow-up-2026-07-31.md,"NJDG states Taluka-through-Supreme-Court searchable institution, pendency, disposal, age, case-type and court views; exact family taxonomy, completeness and reuse remain unresolved."
COV-015,MEX,2026-08-01T00:00:00Z,analyst-agent,partial,found,not_assessed,"Official Nuevo León response routes statistical requests to transparency channels but does not answer taxonomy, coverage, missingness, or reuse questions.",2026-08-31,reviewed,docs/methods/direct-enquiries/MEX-PJENL.md,"Official Nuevo León family-court source and institutional anchor confirmed; response is a routing outcome only. National representativeness, completeness, and rights remain unresolved."
COV-016,ZAF,2026-08-01T05:14:03Z,analyst-agent,partial,found,not_assessed,"Checksummed official 2024/25 Judiciary annual-report edition reviewed; maintenance and child-justice measures are identified, while family taxonomy, national completeness, and reuse remain unresolved.",2026-09-01,reviewed,data/raw/manifests/ACQ-ZAF-JUD-ANNUAL-20260801T051403Z-24991662.json,"Pilot candidate remains conditional; annual report is metadata-only pending rights review and no observations are promoted."
COV-017,JPN,2026-07-31T08:58:23Z,analyst-agent,partial,found,not_assessed,Official annual-statistics search and Court Data Book reviewed; Excel editions and correction workflow identified.,2026-08-31,reviewed,docs/methods/public-source-follow-up-2026-07-31.md,"Family annuals are available in PDF/Excel with corrections and duration sections; source editions, taxonomy translation, completeness and rights require review."
COV-018,FRA,2026-07-31T08:58:23Z,analyst-agent,partial,found,not_assessed,Official detailed-table service and 2025 statistical reference reviewed; CSV export and family measures identified.,2026-08-31,reviewed,docs/methods/public-source-follow-up-2026-07-31.md,"New/completed cases and average duration are CSV-exportable with divorce, parental authority, residence/contact and maintenance detail; edition completeness and rights remain."
COV-019,NLD,2026-07-29T00:00:00Z,analyst-agent,partial,found,not_assessed,Agent-reviewed official browser receipt and matching institution map; partial status retained; no completeness inference.,2026-08-29,reviewed,docs/methods/remaining-gates.md,"Official Dutch government data source and judiciary anchor confirmed; dataset currency, family-specific scope, completeness, and rights remain unresolved."
COV-020,SWE,2026-08-01T03:40:16Z,analyst-agent,partial,found,not_assessed,Official response and checksummed metadata-only 2025 District Court workbook reviewed; all-court scope and core measures confirmed while unresolved categories and rights remain fail-closed.,2026-08-31,reviewed,docs/methods/direct-enquiries/SWE-DOMSTOLSVERKET.md,"Response confirms all relevant court levels, filed/determined/pending/time measures, case-type grain, some series from 2000 and machine-readable tables. Workbook rows are source-native and descriptive only; rights, definition changes and several matter mappings remain unresolved."
COV-021,KEN,2026-07-29T00:00:00Z,analyst-agent,partial,found,not_assessed,Agent-reviewed official browser receipt and matching institution map; partial status retained; no completeness inference.,2026-08-29,reviewed,docs/methods/remaining-gates.md,"Official Kenya Judiciary annual-report source and institutional anchor confirmed; family-specific scope, completeness, and rights remain unresolved."
COV-022,CHL,2026-07-31T08:58:23Z,analyst-agent,partial,found,not_assessed,Official public account and domestic-violence bulletin reviewed; aggregate family flow measures identified without taxonomy-completeness inference.,2026-08-31,reviewed,docs/methods/public-source-follow-up-2026-07-31.md,"First-instance family incoming, terminated and in-progress totals are public, with separate VIF termination statistics; detailed matter coverage and rights remain unresolved."
COV-023,PHL,2026-07-31T08:58:23Z,analyst-agent,partial,found,not_assessed,Official 2024 annual caseflow page reviewed; regional designated/statutory Family Court flow components identified.,2026-08-31,reviewed,docs/methods/public-source-follow-up-2026-07-31.md,"Opening pending, new, revived, transfers, decided/resolved, archived and closing pending are public by region; matter taxonomy, completeness and reuse remain unresolved."
