enquiry_id,jurisdiction_id,priority,state,sent_at,closed_at,evidence_path,review_status,notes
ENQ-CAN-BC-001,CAN-BC,high,planned,,,docs/methods/direct-enquiries/CAN-BC.md,draft,"Prepared only; British Columbia family-series coverage, definitions, continuity, and reuse questions remain unresolved."
ENQ-USA-CA-001,USA-CA,high,sent,2026-07-31T07:04:13Z,,docs/methods/direct-enquiries/USA-CA.md,reviewed,"Sent to research@jud.ca.gov with pubinfo@jud.ca.gov copied; controlled-mailbox message 19fb6fbc642a71ab. Follow-up due 2026-08-15; earliest evidenced no-response closure 2026-08-30."
ENQ-ESP-001,ESP,high,sent,2026-07-31T07:04:13Z,,docs/methods/direct-enquiries/ESP-CGPJ.md,reviewed,"Sent in Spanish to estadistica.judicial@cgpj.es; controlled-mailbox message 19fb6fbe595af941. Follow-up due 2026-08-15; earliest evidenced no-response closure 2026-08-30."
ENQ-MEX-001,MEX,high,sent,2026-07-31T07:04:13Z,,docs/methods/direct-enquiries/MEX-PJENL.md,reviewed,"Sent in Spanish to estadistica@pjenl.gob.mx; controlled-mailbox message 19fb6fc06c1c9dc2. Follow-up due 2026-08-15; earliest evidenced no-response closure 2026-08-30."
ENQ-JPN-001,JPN,high,planned,,,docs/methods/direct-enquiries/JPN-SCJ.md,draft,"Prepared only; Japanese family-court statistical categories, coverage, machine-readable access, and reuse questions remain unresolved."
ENQ-FRA-001,FRA,high,planned,,,docs/methods/direct-enquiries/FRA-MOJ.md,draft,"Prepared only; French family-justice taxonomy, series continuity, completeness, and reuse questions remain unresolved."
ENQ-NLD-001,NLD,high,planned,,,docs/methods/direct-enquiries/NLD-RECHTSPRAAK.md,draft,"Prepared only; Dutch family-justice measures, historical continuity, machine-readable access, and reuse questions remain unresolved."
ENQ-SWE-001,SWE,high,sent,2026-07-31T07:04:13Z,,docs/methods/direct-enquiries/SWE-DOMSTOLSVERKET.md,reviewed,"Sent to statistik@dom.se with domstolsverket@dom.se copied; controlled-mailbox message 19fb6fc1f366d800. Follow-up due 2026-08-15; earliest evidenced no-response closure 2026-08-30."
ENQ-KEN-001,KEN,high,sent,2026-07-31T07:04:13Z,,docs/methods/direct-enquiries/KEN-JUDICIARY.md,reviewed,"Sent to chiefjustice@court.go.ke with a request for routing to the statistics directorate; controlled-mailbox message 19fb6fc3ef39d4f5. Follow-up due 2026-08-15; earliest evidenced no-response closure 2026-08-30."
ENQ-CHL-001,CHL,high,sent,2026-07-31T07:04:13Z,,docs/methods/direct-enquiries/CHL-PJUD.md,reviewed,"Sent in Spanish to transparencia@pjud.cl; controlled-mailbox message 19fb6fc5c4c45121. Follow-up due 2026-08-15; earliest evidenced no-response closure 2026-08-30."
ENQ-PHL-001,PHL,high,sent,2026-07-31T07:04:13Z,,docs/methods/direct-enquiries/PHL-SUPREME-COURT.md,reviewed,"Sent to piocommsoffice.sc@judiciary.gov.ph with a request for routing; controlled-mailbox message 19fb6fc80503d3e3. Follow-up due 2026-08-15; earliest evidenced no-response closure 2026-08-30."
ENQ-IND-001,IND,high,sent,2026-07-31T07:04:13Z,,docs/methods/direct-enquiries/IND-NJDG.md,reviewed,"Sent to helpdesk-nic@nic.in with a request for routing to the NJDG/e-Courts team; controlled-mailbox message 19fb6fc9fe020bca. Follow-up due 2026-08-15; earliest evidenced no-response closure 2026-08-30."
ENQ-USA-001,USA,high,sent,2026-07-31T07:04:13Z,,docs/methods/direct-enquiries/USA-NCSC-CSP.md,reviewed,"Sent to csp@ncsc.org; controlled-mailbox message 19fb6fcc8ac3c66f. Follow-up due 2026-08-15; earliest evidenced no-response closure 2026-08-30."
