indicator_id,domain,name,definition,preferred_statistic,preferred_unit,numerator,denominator,core_release,comparability_notes
OUTCOME_REVERSAL,administrative_outcome,Reversal or material variation rate,"Appeals resulting in reversal, remittal or material variation",rate,percent,reversed_or_varied appeals,resolved appeals,no,Outcome taxonomy and selection effects required
OUTCOME_RETURN_12M,administrative_outcome,Return to court within 12 months,"Families, parties or matters with a new eligible filing within 12 months of final disposition",rate,percent,returns within 12 months,eligible index matters_or_families,yes,Requires stable linkage unit and explicit same-family definition
OUTCOME_ENFORCEMENT,administrative_outcome,Enforcement application rate,Eligible final orders followed by an enforcement/non-compliance application,rate,percent,enforcement applications,eligible orders,no,Enforcement pathways may be administrative rather than judicial
OUTCOME_PLACEMENT_STABILITY,child_family_outcome,Placement stability,Children remaining in a stable care/guardianship placement over a defined follow-up period,rate,percent,children with stable placement,eligible children,no,Requires child-level linkage and care-system definitions
OUTCOME_REUNIFICATION,child_family_outcome,Reunification rate,Children reunified with parent(s) after public-law proceedings within a defined period,rate,percent,reunified children,eligible children,no,Legal and care-status definitions differ
OUTCOME_REPEAT_PROTECTION,child_family_outcome,Repeat protection proceeding,Families or protected persons with a subsequent eligible protection-order application within a defined period,rate,percent,repeat applications,eligible index applications_or_persons,no,Safety interpretation requires caution
EXPERIENCE_FAIRNESS,experience,Perceived procedural fairness,"Court users reporting fair treatment, voice, understanding and respectful process using a documented instrument",scale_or_rate,score_or_percent,positive responses_or_scale score,survey respondents,yes,"Instrument, response rate and mode required"
EXPERIENCE_SATISFACTION,experience,User satisfaction,Court-user satisfaction with service or process,scale_or_rate,score_or_percent,positive responses_or_scale score,survey respondents,no,Satisfaction is not equivalent to fairness or substantive outcome
EQUITY_TIMELINESS_GAP,equity,Timeliness disparity,Difference or ratio in compatible timeliness measures between defined population groups,difference_or_ratio,days_or_ratio,group-specific measure difference,reference group,no,"Group definitions, suppression and confounding required"
INPUT_JUDICIAL_FTE,inputs,Judicial resources,Judicial full-time-equivalent capacity assigned to family matters,fte,FTE,family judicial FTE,not applicable,no,Allocation methods differ; headcount is not FTE
INPUT_EXPENDITURE,inputs,Family-justice expenditure,Public expenditure attributable to family-justice courts/services in the reporting period,currency_and_ppp,local_currency,family-justice expenditure,not applicable,no,"Price level, scope and institutional boundaries required"
